,Episodes,Rewards
1149,114,52.0
1150,115,62.0
1151,115,126.0
1152,115,156.0
1153,115,173.0
1154,115,36.0
1155,115,9.0
1156,115,102.0
1157,115,24.0
1158,115,37.0
1159,115,51.0
1160,116,38.0
1161,116,77.0
1162,116,156.0
1163,116,173.0
1164,116,36.0
1165,116,9.0
1166,116,126.0
1167,116,22.0
1168,116,34.0
1169,116,59.0
1170,117,39.0
1171,117,130.0
1172,117,156.0
1173,117,173.0
1174,117,31.0
1175,117,9.0
1176,117,129.0
1177,117,23.0
1178,117,37.0
1179,117,43.0
1180,118,45.0
1181,118,87.0
1182,118,156.0
1183,118,173.0
1184,118,32.0
1185,118,9.0
1186,118,139.0
1187,118,23.0
1188,118,34.0
1189,118,40.0
1190,119,36.0
1191,119,100.0
1192,119,156.0
1193,119,173.0
1194,119,29.0
1195,119,9.0
1196,119,146.0
1197,119,23.0
1198,119,31.0
1199,119,45.0
1200,120,60.0
1201,120,74.0
1202,120,156.0
1203,120,173.0
1204,120,29.0
1205,120,9.0
1206,120,191.0
1207,120,21.0
1208,120,30.0
1209,120,40.0
1210,121,53.0
1211,121,79.0
1212,121,156.0
1213,121,173.0
1214,121,37.0
1215,121,10.0
1216,121,191.0
1217,121,24.0
1218,121,40.0
1219,121,37.0
1220,122,56.0
1221,122,91.0
1222,122,156.0
1223,122,173.0
1224,122,27.0
1225,122,9.0
1226,122,191.0
1227,122,25.0
1228,122,32.0
1229,122,45.0
1230,123,52.0
1231,123,112.0
1232,123,156.0
1233,123,173.0
1234,123,32.0
1235,123,9.0
1236,123,191.0
1237,123,21.0
1238,123,35.0
1239,123,33.0
1240,124,54.0
1241,124,89.0
1242,124,156.0
1243,124,173.0
1244,124,33.0
1245,124,9.0
1246,124,191.0
1247,124,24.0
1248,124,34.0
1249,124,36.0
1250,125,45.0
1251,125,91.0
1252,125,156.0
1253,125,173.0
1254,125,28.0
1255,125,9.0
1256,125,191.0
1257,125,26.0
1258,125,31.0
1259,125,41.0
1260,126,71.0
1261,126,71.0
1262,126,156.0
1263,126,173.0
1264,126,30.0
1265,126,9.0
1266,126,191.0
1267,126,24.0
1268,126,34.0
1269,126,44.0
1270,127,67.0
1271,127,64.0
1272,127,156.0
1273,127,173.0
1274,127,28.0
1275,127,9.0
1276,127,172.0
1277,127,24.0
1278,127,29.0
1279,127,32.0
1280,128,59.0
1281,128,94.0
1282,128,157.0
1283,128,173.0
1284,128,24.0
1285,128,9.0
1286,128,131.0
1287,128,25.0
1288,128,24.0
1289,128,43.0
1290,129,67.0
1291,129,115.0
1292,129,128.0
1293,129,173.0
1294,129,32.0
1295,129,9.0
1296,129,107.0
1297,129,28.0
1298,129,39.0
1299,129,38.0
1300,130,72.0
1301,130,137.0
1302,130,92.0
1303,130,173.0
1304,130,29.0
1305,130,9.0
1306,130,81.0
1307,130,28.0
1308,130,31.0
1309,130,40.0
1310,131,77.0
1311,131,117.0
1312,131,81.0
1313,131,173.0
1314,131,34.0
1315,131,11.0
1316,131,59.0
1317,131,25.0
1318,131,31.0
1319,131,33.0
1320,132,73.0
1321,132,102.0
1322,132,56.0
1323,132,173.0
1324,132,25.0
1325,132,9.0
1326,132,46.0
1327,132,28.0
1328,132,34.0
1329,132,36.0
1330,133,114.0
1331,133,126.0
1332,133,41.0
1333,133,173.0
1334,133,31.0
1335,133,9.0
1336,133,33.0
1337,133,28.0
1338,133,34.0
1339,133,42.0
1340,134,69.0
1341,134,139.0
1342,134,44.0
1343,134,173.0
1344,134,36.0
1345,134,9.0
1346,134,44.0
1347,134,28.0
1348,134,27.0
1349,134,39.0
1350,135,89.0
1351,135,135.0
1352,135,37.0
1353,135,173.0
1354,135,31.0
1355,135,9.0
1356,135,34.0
1357,135,29.0
1358,135,29.0
1359,135,38.0
1360,136,103.0
1361,136,96.0
1362,136,31.0
1363,136,173.0
1364,136,39.0
1365,136,9.0
1366,136,28.0
1367,136,27.0
1368,136,29.0
1369,136,49.0
1370,137,74.0
1371,137,99.0
1372,137,29.0
1373,137,173.0
1374,137,31.0
1375,137,12.0
1376,137,23.0
1377,137,26.0
1378,137,34.0
1379,137,38.0
1380,138,75.0
1381,138,128.0
1382,138,22.0
1383,138,173.0
1384,138,29.0
1385,138,13.0
1386,138,36.0
1387,138,28.0
1388,138,30.0
1389,138,60.0
1390,139,77.0
1391,139,153.0
1392,139,28.0
1393,139,173.0
1394,139,42.0
1395,139,11.0
1396,139,26.0
1397,139,32.0
1398,139,35.0
1399,139,27.0
1400,140,80.0
1401,140,153.0
1402,140,24.0
1403,140,173.0
1404,140,41.0
1405,140,9.0
1406,140,26.0
1407,140,26.0
1408,140,31.0
1409,140,46.0
1410,141,79.0
1411,141,156.0
1412,141,23.0
1413,141,173.0
1414,141,36.0
1415,141,9.0
1416,141,24.0
1417,141,29.0
1418,141,34.0
1419,141,36.0
1420,142,75.0
1421,142,133.0
1422,142,19.0
1423,142,173.0
1424,142,36.0
1425,142,9.0
1426,142,22.0
1427,142,29.0
1428,142,30.0
1429,142,46.0
1430,143,65.0
1431,143,170.0
1432,143,24.0
1433,143,173.0
1434,143,38.0
1435,143,9.0
1436,143,15.0
1437,143,35.0
1438,143,34.0
1439,143,41.0
1440,144,106.0
1441,144,173.0
1442,144,16.0
1443,144,173.0
1444,144,44.0
1445,144,9.0
1446,144,14.0
1447,144,29.0
1448,144,25.0
1449,144,37.0
1450,145,65.0
1451,145,117.0
1452,145,19.0
1453,145,110.0
1454,145,52.0
1455,145,11.0
1456,145,16.0
1457,145,35.0
1458,145,32.0
1459,145,39.0
1460,146,79.0
1461,146,161.0
1462,146,19.0
1463,146,110.0
1464,146,44.0
1465,146,9.0
1466,146,17.0
1467,146,30.0
1468,146,34.0
1469,146,41.0
1470,147,142.0
1471,147,156.0
1472,147,17.0
1473,147,115.0
1474,147,30.0
1475,147,9.0
1476,147,18.0
1477,147,30.0
1478,147,30.0
1479,147,31.0
1480,148,86.0
1481,148,142.0
1482,148,21.0
1483,148,44.0
1484,148,42.0
1485,148,9.0
1486,148,20.0
1487,148,31.0
1488,148,34.0
1489,148,37.0
1490,149,94.0
1491,149,142.0
1492,149,18.0
1493,149,44.0
1494,149,36.0
1495,149,9.0
1496,149,14.0
1497,149,32.0
1498,149,31.0
1499,149,50.0
1500,150,105.0
1501,150,195.0
1502,150,19.0
1503,150,44.0
1504,150,36.0
1505,150,9.0
1506,150,13.0
1507,150,33.0
1508,150,33.0
1509,150,42.0
1510,151,139.0
1511,151,195.0
1512,151,20.0
1513,151,34.0
1514,151,98.0
1515,151,9.0
1516,151,14.0
1517,151,32.0
1518,151,35.0
1519,151,35.0
1520,152,115.0
1521,152,192.0
1522,152,20.0
1523,152,94.0
1524,152,31.0
1525,152,9.0
1526,152,14.0
1527,152,32.0
1528,152,33.0
1529,152,38.0
1530,153,130.0
1531,153,192.0
1532,153,20.0
1533,153,106.0
1534,153,46.0
1535,153,9.0
1536,153,13.0
1537,153,37.0
1538,153,34.0
1539,153,39.0
1540,154,149.0
1541,154,192.0
1542,154,22.0
1543,154,24.0
1544,154,36.0
1545,154,9.0
1546,154,13.0
1547,154,34.0
1548,154,30.0
1549,154,38.0
1550,155,149.0
1551,155,192.0
1552,155,19.0
1553,155,40.0
1554,155,39.0
1555,155,10.0
1556,155,12.0
1557,155,33.0
1558,155,31.0
1559,155,31.0
1560,156,159.0
1561,156,192.0
1562,156,20.0
1563,156,99.0
1564,156,41.0
1565,156,9.0
1566,156,12.0
1567,156,36.0
1568,156,31.0
1569,156,60.0
1570,157,159.0
1571,157,192.0
1572,157,22.0
1573,157,41.0
1574,157,40.0
1575,157,10.0
1576,157,13.0
1577,157,33.0
1578,157,26.0
1579,157,41.0
1580,158,153.0
1581,158,192.0
1582,158,21.0
1583,158,90.0
1584,158,38.0
1585,158,9.0
1586,158,11.0
1587,158,37.0
1588,158,32.0
1589,158,25.0
1590,159,153.0
1591,159,192.0
1592,159,22.0
1593,159,13.0
1594,159,47.0
1595,159,10.0
1596,159,15.0
1597,159,38.0
1598,159,38.0
1599,159,43.0
1600,160,153.0
1601,160,192.0
1602,160,21.0
1603,160,133.0
1604,160,40.0
1605,160,10.0
1606,160,12.0
1607,160,34.0
1608,160,32.0
1609,160,25.0
1610,161,153.0
1611,161,192.0
1612,161,21.0
1613,161,100.0
1614,161,41.0
1615,161,10.0
1616,161,11.0
1617,161,39.0
1618,161,34.0
1619,161,40.0
1620,162,191.0
1621,162,192.0
1622,162,25.0
1623,162,59.0
1624,162,39.0
1625,162,10.0
1626,162,15.0
1627,162,41.0
1628,162,32.0
1629,162,54.0
1630,163,191.0
1631,163,192.0
1632,163,22.0
1633,163,118.0
1634,163,38.0
1635,163,10.0
1636,163,13.0
1637,163,32.0
1638,163,32.0
1639,163,31.0
1640,164,191.0
1641,164,192.0
1642,164,25.0
1643,164,104.0
1644,164,39.0
1645,164,9.0
1646,164,13.0
1647,164,40.0
1648,164,30.0
1649,164,32.0
1650,165,185.0
1651,165,192.0
1652,165,23.0
1653,165,125.0
1654,165,35.0
1655,165,9.0
1656,165,12.0
1657,165,40.0
1658,165,32.0
1659,165,30.0
1660,166,185.0
1661,166,192.0
