,Episodes,Rewards
483,48,97.0
484,48,171.0
485,48,15.0
486,48,148.0
487,48,111.0
488,48,106.0
489,48,71.0
490,49,40.0
491,49,82.0
492,49,29.0
493,49,69.0
494,49,132.0
495,49,13.0
496,49,148.0
497,49,97.0
498,49,106.0
499,49,49.0
500,50,42.0
501,50,106.0
502,50,18.0
503,50,67.0
504,50,139.0
505,50,18.0
506,50,148.0
507,50,118.0
508,50,113.0
509,50,64.0
510,51,59.0
511,51,100.0
512,51,25.0
513,51,34.0
514,51,56.0
515,51,12.0
516,51,148.0
517,51,118.0
518,51,156.0
519,51,128.0
520,52,19.0
521,52,121.0
522,52,41.0
523,52,84.0
524,52,110.0
525,52,22.0
526,52,148.0
527,52,119.0
528,52,132.0
529,52,66.0
530,53,28.0
531,53,104.0
532,53,13.0
533,53,53.0
534,53,75.0
535,53,42.0
536,53,148.0
537,53,116.0
538,53,140.0
539,53,83.0
540,54,27.0
541,54,89.0
542,54,37.0
543,54,54.0
544,54,52.0
545,54,15.0
546,54,148.0
547,54,141.0
548,54,158.0
549,54,42.0
550,55,45.0
551,55,86.0
552,55,20.0
553,55,137.0
554,55,58.0
555,55,19.0
556,55,148.0
557,55,136.0
558,55,101.0
559,55,33.0
560,56,23.0
561,56,51.0
562,56,12.0
563,56,137.0
564,56,100.0
565,56,25.0
566,56,148.0
567,56,136.0
568,56,143.0
569,56,61.0
570,57,41.0
571,57,65.0
572,57,11.0
573,57,137.0
574,57,59.0
575,57,24.0
576,57,179.0
577,57,158.0
578,57,160.0
579,57,50.0
580,58,57.0
581,58,50.0
582,58,10.0
583,58,137.0
584,58,92.0
585,58,27.0
586,58,140.0
587,58,167.0
588,58,139.0
589,58,53.0
590,59,31.0
591,59,58.0
592,59,16.0
593,59,137.0
594,59,107.0
595,59,39.0
596,59,75.0
597,59,165.0
598,59,99.0
599,59,42.0
600,60,52.0
601,60,45.0
602,60,20.0
603,60,137.0
604,60,125.0
605,60,25.0
606,60,30.0
607,60,165.0
608,60,83.0
609,60,46.0
610,61,37.0
611,61,44.0
612,61,11.0
613,61,137.0
614,61,144.0
615,61,93.0
616,61,34.0
617,61,165.0
618,61,104.0
619,61,42.0
620,62,44.0
621,62,43.0
622,62,9.0
623,62,137.0
624,62,101.0
625,62,44.0
626,62,23.0
627,62,165.0
628,62,99.0
629,62,47.0
630,63,43.0
631,63,44.0
632,63,14.0
633,63,137.0
634,63,167.0
635,63,36.0
636,63,23.0
637,63,165.0
638,63,109.0
639,63,27.0
640,64,59.0
641,64,51.0
642,64,23.0
643,64,137.0
644,64,167.0
645,64,32.0
646,64,19.0
647,64,186.0
648,64,101.0
649,64,38.0
650,65,47.0
651,65,45.0
652,65,36.0
653,65,137.0
654,65,167.0
655,65,72.0
656,65,16.0
657,65,186.0
658,65,118.0
659,65,32.0
660,66,91.0
661,66,41.0
662,66,28.0
663,66,137.0
664,66,167.0
665,66,53.0
666,66,14.0
667,66,157.0
668,66,125.0
669,66,39.0
670,67,65.0
671,67,38.0
672,67,24.0
673,67,137.0
674,67,167.0
675,67,60.0
676,67,13.0
677,67,185.0
678,67,105.0
679,67,27.0
680,68,86.0
681,68,54.0
682,68,11.0
683,68,137.0
684,68,109.0
685,68,79.0
686,68,11.0
687,68,185.0
688,68,125.0
689,68,38.0
690,69,94.0
691,69,40.0
692,69,44.0
693,69,137.0
694,69,69.0
695,69,92.0
696,69,17.0
697,69,185.0
698,69,125.0
699,69,34.0
700,70,107.0
701,70,46.0
702,70,15.0
703,70,137.0
704,70,66.0
705,70,26.0
706,70,13.0
707,70,185.0
708,70,125.0
709,70,30.0
710,71,136.0
711,71,61.0
712,71,27.0
713,71,137.0
714,71,46.0
715,71,35.0
716,71,9.0
717,71,185.0
718,71,125.0
719,71,36.0
720,72,74.0
721,72,47.0
722,72,12.0
723,72,96.0
724,72,46.0
725,72,65.0
726,72,9.0
727,72,185.0
728,72,125.0
729,72,34.0
730,73,81.0
731,73,56.0
732,73,34.0
733,73,91.0
734,73,42.0
735,73,34.0
736,73,12.0
737,73,185.0
738,73,125.0
739,73,25.0
740,74,60.0
741,74,58.0
742,74,29.0
743,74,91.0
744,74,29.0
745,74,54.0
746,74,9.0
747,74,185.0
748,74,125.0
749,74,31.0
750,75,86.0
751,75,50.0
752,75,20.0
753,75,189.0
754,75,35.0
755,75,18.0
756,75,9.0
757,75,185.0
758,75,125.0
759,75,36.0
760,76,71.0
761,76,56.0
762,76,15.0
763,76,158.0
764,76,34.0
765,76,72.0
766,76,9.0
767,76,185.0
768,76,125.0
769,76,48.0
770,77,56.0
771,77,76.0
772,77,14.0
773,77,148.0
774,77,31.0
775,77,36.0
776,77,11.0
777,77,168.0
778,77,125.0
779,77,41.0
780,78,57.0
781,78,51.0
782,78,23.0
783,78,89.0
784,78,28.0
785,78,56.0
786,78,9.0
787,78,177.0
788,78,125.0
789,78,49.0
790,79,60.0
791,79,79.0
792,79,24.0
793,79,35.0
794,79,27.0
795,79,62.0
796,79,9.0
797,79,190.0
798,79,125.0
799,79,27.0
800,80,65.0
801,80,131.0
802,80,29.0
803,80,45.0
804,80,24.0
805,80,39.0
806,80,11.0
807,80,166.0
808,80,125.0
809,80,42.0
810,81,65.0
811,81,72.0
812,81,15.0
813,81,39.0
814,81,28.0
815,81,41.0
816,81,9.0
817,81,125.0
818,81,125.0
819,81,73.0
820,82,99.0
821,82,71.0
822,82,63.0
823,82,11.0
824,82,24.0
825,82,70.0
826,82,9.0
827,82,115.0
828,82,125.0
829,82,60.0
830,83,69.0
831,83,94.0
832,83,18.0
833,83,30.0
834,83,28.0
835,83,77.0
836,83,9.0
837,83,45.0
838,83,125.0
839,83,68.0
840,84,83.0
841,84,85.0
842,84,11.0
843,84,37.0
844,84,25.0
845,84,53.0
846,84,11.0
847,84,56.0
